Objects
100
,,Global Angle LEDS:LEDS,,,,,,Global Angle Reflective Balls:Reflective Balls,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
99,0,0.024976,0.000329,0.256988,-68.999413,-85.888016,1367.893066,0.030577,-0.003197,0.262681,-68.581421,-84.310104,1367.264648
100,0,0.100127,-0.003156,-2.882479,-69.912231,-86.261642,1368.093262,0.031456,-0.002627,0.263292,-69.519493,-84.865433,1367.326660
101,0,0.093227,0.001854,-2.881807,-70.922470,-86.866455,1368.145142,0.032440,-0.002089,0.264440,-70.434639,-85.337524,1367.325562
102,0,0.092038,0.004248,-2.879072,-71.799034,-87.373497,1368.127319,0.033294,-0.001267,0.265772,-71.350868,-85.843613,1367.328003
103,0,0.090977,0.008500,-2.879375,-72.691360,-87.803558,1367.924438,0.033946,-0.000462,0.266697,-72.315331,-86.322342,1367.272827
104,0,0.085599,0.019967,-2.878043,-73.582619,-88.275597,1367.540039,0.034750,0.000473,0.267871,-73.222557,-86.750351,1367.205322
105,0,0.087420,0.012099,-2.876912,-74.661430,-88.462059,1367.895630,0.034903,0.000810,0.268356,-74.094086,-87.148178,1367.140015
106,0,0.085936,0.023169,-2.874210,-75.532677,-88.882683,1367.654663,0.035595,0.001600,0.269602,-75.124870,-87.437592,1367.185059
107,0,0.086764,0.020576,-2.876187,-76.411362,-89.268517,1367.644043,0.035953,0.001354,0.271343,-75.994591,-87.825294,1367.130127
108,0,0.079176,0.015272,-2.876089,-77.205963,-89.631752,1367.503174,0.035415,0.003086,0.270987,-76.806610,-88.156563,1367.027100
109,0,0.084444,0.005562,-2.874617,-78.145821,-90.024864,1367.720825,0.035498,0.003431,0.272052,-77.654594,-88.460007,1366.978516
110,0,0.083787,0.006142,-2.873980,-79.078110,-90.334938,1367.649780,0.035365,0.004150,0.272642,-78.565254,-88.686378,1366.902100
111,0,0.073636,0.020196,-2.874497,-79.885895,-90.516258,1367.419556,0.033889,0.004368,0.271987,-79.598305,-88.800987,1366.873779
112,0,0.034878,0.013742,0.268186,-80.742081,-90.647919,1367.485107,0.033085,0.004854,0.272792,-80.435837,-88.996811,1366.791504
